"feature","est_rho","lower_rho","upper_rho","bias_slope","blalt_mean","blalt_delta.sd","blalt_lower","blalt_upper"
"original_glrlm_GrayLevelNonUniformityNormalized","0.894363807033822","0.788377129579443","0.948789370336808","0.992137154084304","-0.0016326141377242","0.008004583035661","-0.0173213085988801","0.0140560803234316"
"original_glrlm_GrayLevelVariance","0.904747969754753","0.813477651307647","0.952526450738749","0.985164988631317","4.94237620641685","22.4265330655233","-39.0128209001055","48.8975733129392"
"original_glrlm_HighGrayLevelRunEmphasis","0.856189718854724","0.71404254619875","0.930540100835698","0.997693826313723","23.3675167378913","192.349805863391","-353.631175187626","400.366208663409"
"original_glrlm_LongRunEmphasis","0.908821069008761","0.816006501628627","0.955951457120218","0.996137649664093","-0.0011275007740583","0.0350682680463577","-0.0698600431451163","0.0676050415969997"
"original_glrlm_LongRunHighGrayLevelEmphasis","0.846532492155124","0.696536796044449","0.925638032352029","0.996763286160928","30.4001249460544","214.939219148039","-390.873003449263","451.673253341372"
"original_glrlm_LongRunLowGrayLevelEmphasis","0.889409866666208","0.775851170270557","0.947149417947262","0.99972993416443","-0.000122781487221258","0.00276116114960918","-0.00553455789596647","0.00528899492152395"
"original_glrlm_LowGrayLevelRunEmphasis","0.902345654778793","0.800678485814888","0.953495111227047","0.999843766410657","-7.52737550169317e-05","0.00262508669091974","-0.00522034912551506","0.00506980161548119"
"original_glrlm_RunEntropy","0.889870688256452","0.7825522845759","0.945833014437316","0.988757832998946","0.0320646499841637","0.170245455008626","-0.301610310364377","0.365739610332704"
"original_glrlm_RunLengthNonUniformity","0.993523409037825","0.98665076622469","0.996863366333404","0.999134282614319","62.8188184480922","375.285292183915","-672.726838159973","798.364475056157"
"original_glrlm_RunLengthNonUniformityNormalized","0.926134360461116","0.849969174114836","0.964377796865662","0.996306076338859","0.00046455905766576","0.01493344850338","-0.0288044621739426","0.0297335802892741"
"original_glrlm_RunPercentage","0.920549256854384","0.838808783245856","0.961702245364037","0.996438816553963","0.000253725645820118","0.00882636100531408","-0.0170456240391442","0.0175530753307845"
"original_glrlm_RunVariance","0.903551246521236","0.805423321560493","0.953467274073338","0.996643134760247","-0.000257642322229509","0.0130544961750782","-0.0258439846616988","0.0253287000172397"
"original_glrlm_ShortRunEmphasis","0.920438917437185","0.838870102173966","0.961577921436029","0.996025666711092","0.000251473839501264","0.00656849800999084","-0.0126225456926038","0.0131254933716063"
"original_glrlm_ShortRunHighGrayLevelEmphasis","0.858518381344884","0.718404240146944","0.931687160778486","0.997732854588891","21.9133491631802","187.533315964281","-345.645196028181","389.471894354541"
"original_glrlm_ShortRunLowGrayLevelEmphasis","0.904907365535472","0.80563760996033","0.954746228285122","0.999859265310652","-6.55103590466207e-05","0.00259722924930949","-0.00515598614728721","0.00502496542919397"
"original_glszm_GrayLevelNonUniformity","0.995739161423145","0.991434563871186","0.99788276451843","0.999183278360044","0.91398387461951","6.13673446763361","-11.1137946646279","12.941762413867"
"original_glszm_GrayLevelNonUniformityNormalized","0.828752791864495","0.678393276557885","0.912480924917969","0.971058793473691","-0.00133681710797935","0.00527788341306864","-0.0116812785121952","0.00900764429623651"
"original_glszm_GrayLevelVariance","0.890237834033067","0.789379604685169","0.944302172628937","0.978477415263497","5.5113297858939","22.6108238131628","-38.8050705486857","49.8277301204735"
"original_glszm_HighGrayLevelZoneEmphasis","0.84032040161452","0.686245799895502","0.922223706327447","0.996196526918998","20.331905085251","182.033489714786","-336.447178735872","377.110988906373"
"original_glszm_LargeAreaEmphasis","0.776316729213397","0.581808031276524","0.886828588332248","0.983275652045143","-49.2601001504224","361.810932349567","-758.396496768431","659.876296467586"
"original_glszm_LargeAreaHighGrayLevelEmphasis","0.730349243127641","0.519701767426031","0.857287422354892","0.960310634961065","-27634.1045351465","207627.706372589","-434576.931218078","379308.722147785"
"original_glszm_LargeAreaLowGrayLevelEmphasis","0.81971189596132","0.649827242672921","0.911594212625351","0.994495298760394","-0.0882967028290701","0.63832063506273","-1.33938215814076","1.16278875248262"
"original_glszm_LowGrayLevelZoneEmphasis","0.82607654137927","0.659399437222289","0.915349041957131","0.999172162676592","-0.000234534806498935","0.004121130683938","-0.00831180252260033","0.00784273290960246"
"original_glszm_SizeZoneNonUniformity","0.97750994133257","0.954650813640684","0.988911851173947","0.996601508458952","18.4787819578871","163.907390473962","-302.773800171022","339.731364086797"
"original_glszm_SizeZoneNonUniformityNormalized","0.847898429438383","0.704955187499643","0.924649215764149","0.988585184209877","-0.00558162691819116","0.0418900119904084","-0.0876845417313426","0.0765212878949603"
"original_glszm_SmallAreaEmphasis","0.862922586783885","0.730492597606439","0.932806149256955","0.992369621057016","-0.00272680551242946","0.0245329941974141","-0.0508105905722912","0.0453569795474322"
